n,k,h,alpha,gamma,nominal_r,effective_r,signal_label,signal,delta,I,D,R,signal_over_I,signal_over_D,signal_over_R,trials,trim_recovery_rate,detection_rate,overtrim_rate,undertrim_rate,adaptive_interlock_failure_rate,contamination_cost,contamination_cost_se,estimator,usable_trials,failure_rate,mean,bias,variance,mse,rmse,mse_se,benefit_vs_contaminated_hill,benefit_vs_contaminated_hill_se
50000,223,10,0.008542072972012553,0.5,5,5,1.5D,5.299002492646416,2.885795211446736,1.1307827929229566,3.532668328430944,7.466592261534039,4.686136476262645,1.5,0.7096949059272344,5000,0.9948,1.0,0.0052,0.0,0.0,0.0005637065623701949,2.2464130096869215e-05,oracle_trimmed_hill,5000,0.0,0.5000243349205813,2.4334920581255836e-05,0.0011490858871628926,0.0011488566621738196,0.03389478812699409,2.2496203682301205e-05,0.0005317748389255017,2.2920440266037654e-05
50000,223,10,0.008542072972012553,0.5,5,5,1.5D,5.299002492646416,2.885795211446736,1.1307827929229566,3.532668328430944,7.466592261534039,4.686136476262645,1.5,0.7096949059272344,5000,0.9948,1.0,0.0052,0.0,0.0,0.0005637065623701949,2.2464130096869215e-05,adaptive_trimmed_hill,5000,0.0,0.4999400092457148,-5.999075428517799e-05,0.0011498724523387259,0.0011496460767388577,0.03390643120027317,2.2547851188272294e-05,0.0005309854243604639,2.3085903078570848e-05
50000,223,10,0.008542072972012553,0.5,5,5,1.5D,5.299002492646416,2.885795211446736,1.1307827929229566,3.532668328430944,7.466592261534039,4.686136476262645,1.5,0.7096949059272344,5000,0.9948,1.0,0.0052,0.0,0.0,0.0005637065623701949,2.2464130096869215e-05,harmonic_moment_beta_0.5,5000,0.0,0.5096813289964013,0.009681328996401338,0.0011611538116063243,0.0012546497119805644,0.03542103488014663,2.5173106092013048e-05,0.0004259817891187572,1.5688054513192608e-05
50000,223,10,0.008542072972012553,0.5,5,5,1.5D,5.299002492646416,2.885795211446736,1.1307827929229566,3.532668328430944,7.466592261534039,4.686136476262645,1.5,0.7096949059272344,5000,0.9948,1.0,0.0052,0.0,0.0,0.0005637065623701949,2.2464130096869215e-05,harmonic_moment_beta_1,5000,0.0,0.5043770620973458,0.004377062097345776,0.0012715318903874623,0.001290436256613406,0.035922642673019006,2.5689962068678203e-05,0.00039019524448591564,2.2169338386523816e-05
50000,223,10,0.008542072972012553,0.5,5,5,1.5D,5.299002492646416,2.885795211446736,1.1307827929229566,3.532668328430944,7.466592261534039,4.686136476262645,1.5,0.7096949059272344,5000,0.9948,1.0,0.0052,0.0,0.0,0.0005637065623701949,2.2464130096869215e-05,harmonic_moment_beta_2,5000,0.0,0.5020175153097471,0.002017515309747237,0.0015287847883809285,0.001532549399448317,0.03914778920256311,3.043550772432976e-05,0.0001480821016510046,2.8692123241110753e-05
50000,223,10,0.008542072972012553,0.5,5,5,0.5R,3.7332961307670196,2.109939398854332,1.1307827929229566,3.532668328430944,7.466592261534039,3.3015148038438356,1.0567921422799365,0.5,5000,0.931,0.9348,0.0038,0.0652,0.0,0.0002519892673065262,1.5816946029989493e-05,hill,5000,0.0,0.5158966235803225,0.01589662358032248,0.0011157839864515775,0.0013682634709087519,0.03699004556510781,2.848989141422839e-05,0.0,0.0
50000,223,10,0.008542072972012553,0.5,5,5,0.5R,3.7332961307670196,2.109939398854332,1.1307827929229566,3.532668328430944,7.466592261534039,3.3015148038438356,1.0567921422799365,0.5,5000,0.931,0.9348,0.0038,0.0652,0.0,0.0002519892673065262,1.5816946029989493e-05,oracle_trimmed_hill,5000,0.0,0.49923131788875363,-0.0007686821112463598,0.0011459458182422832,0.0011463075012667846,0.033857163219424995,2.345542362313112e-05,0.00022195596964196717,1.6369414175494738e-05
50000,223,10,0.008542072972012553,0.5,5,5,0.5R,3.7332961307670196,2.109939398854332,1.1307827929229566,3.532668328430944,7.466592261534039,3.3015148038438356,1.0567921422799365,0.5,5000,0.931,0.9348,0.0038,0.0652,0.0,0.0002519892673065262,1.5816946029989493e-05,adaptive_trimmed_hill,5000,0.0,0.5000525824066143,5.258240661429974e-05,0.0012561609135435885,0.0012559124462703654,0.03543885503610924,2.6801936699998084e-05,0.00011235102463838666,1.527962918403911e-05
50000,223,10,0.008542072972012553,0.5,5,5,0.5R,3.7332961307670196,2.109939398854332,1.1307827929229566,3.532668328430944,7.466592261534039,3.3015148038438356,1.0567921422799365,0.5,5000,0.931,0.9348,0.0038,0.0652,0.0,0.0002519892673065262,1.5816946029989493e-05,harmonic_moment_beta_0.5,5000,0.0,0.5067675729574139,0.006767572957413904,0.0011613674053092867,0.0012069351755621448,0.03474097257651468,2.5282500553675013e-05,0.000161328295346607,1.1387827899695249e-05
50000,223,10,0.008542072972012553,0.5,5,5,0.5R,3.7332961307670196,2.109939398854332,1.1307827929229566,3.532668328430944,7.466592261534039,3.3015148038438356,1.0567921422799365,0.5,5000,0.931,0.9348,0.0038,0.0652,0.0,0.0002519892673065262,1.5816946029989493e-05,harmonic_moment_beta_1,5000,0.0,0.5031274996538342,0.0031274996538341875,0.0012673937797236115,0.0012769215550524,0.03573403916509299,2.635845860485442e-05,9.134191585635212e-05,1.697724631889203e-05
